Class,Lower_Whisker,Q1,Median,Mean,Q3,Upper_Whisker,Outliers
OA,0.81,0.83,0.84,0.84,0.86,0.87,"0.70, 0.72"
OA_u,0.8,0.84,0.86,0.85,0.88,0.89,"0.61, 0.78"
OA_bu,0.91,0.93,0.95,0.94,0.96,0.97,"0.79, 0.90, 0.98"
OA_w,0.94,0.95,0.96,0.96,0.97,0.97,"0.90, 0.93, 0.97"
1,0.73,0.78,0.83,0.82,0.87,0.89,"0.65, 0.92, 0.95"
2,0.04,0.07,0.1,0.11,0.15,0.18,"0.02, 0.23"
3,0.33,0.41,0.48,0.48,0.55,0.58,"0.26, 0.31, 0.64, 0.65"
4,0.06,0.11,0.22,0.21,0.26,0.35,"0.05, 0.45"
6,,,,,,,0.14
7,0.86,0.89,0.91,,0.93,0.95,"0.84, 0.85, 0.96, 0.97"
8,0.82,0.88,0.9,0.89,0.92,0.93,"0.80, 0.81, 0.93, 0.94"
9,0.45,0.6,0.68,0.67,0.78,0.8,"0.38, 0.39, 0.81, 0.84"
A,0.73,0.77,0.88,0.82,0.91,0.93,"0.01, 0.72, 0.94, 0.95"
B,0.65,0.72,0.75,0.76,0.81,0.84,"0.52, 0.59, 0.86, 0.88"
D,0.63,0.81,0.84,0.82,0.88,0.89,"0.42, 0.57, 0.91, 0.92"
G,0.99,1.0,1.0,1.0,1.0,1.0,"0.98, 0.99"
