,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total,UA (%)
1,84.0,10.0,5.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,75.7
2,1.0,1.0,14.0,0.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.1
3,1.0,1.0,28.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,80.0
4,6.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,28.6
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,209.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,91.3
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,1.0,0.0,4.0,0.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,282.0,97.5
9,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,99.0,0.0,2.0,30.0,0.0,32.0,0.0,0.0,0.0,178.0,55.6
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,91.7
12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,16.0,0.0,2.0,125.0,0.0,1.0,0.0,0.0,0.0,146.0,85.6
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,42.0,0.0,205.0,0.0,0.0,0.0,249.0,82.3
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,292.0,296.0,98.6
Total,93.0,13.0,52.0,13.0,0.0,227.0,0.0,336.0,130.0,0.0,159.0,204.0,0.0,238.0,0.0,0.0,292.0,1757.0,
PA (%),90.3,7.7,53.8,30.8,,92.1,,81.8,76.2,,97.5,61.3,,86.1,,,100.0,,84.1
